State,Sex,age_group,deaths,pop_state,population
Alabama,Female,0-.99 years,0,27808,1809703
Alabama,Female,01-04 years,0,117523,7620035
Alabama,Female,05-14 years,0,312194,20518881
Alabama,Female,15-24 years,6,327964,20981911
Alabama,Female,25-34 years,17,331118,22449525
Alabama,Female,35-44 years,54,315683,21276445
Alabama,Female,45-54 years,168,319255,20563411
Alabama,Female,55-64 years,369,348430,21973114
Alabama,Female,65-74 years,676,280443,17208126
Alabama,Female,75-84 years,859,146371,8832725
Alabama,Female,85 years and over,996,2640933,171003046
Alabama,Male,0-.99 years,0,29226,1893263
Alabama,Male,01-04 years,0,122764,7968874
Alabama,Male,05-14 years,0,324987,21520591
Alabama,Male,15-24 years,7,330155,21603341
Alabama,Male,25-34 years,30,318853,22791780
Alabama,Male,35-44 years,73,297320,21420401
Alabama,Male,45-54 years,211,306071,20492996
Alabama,Male,55-64 years,530,324680,21075426
Alabama,Male,65-74 years,993,242723,15361155
Alabama,Male,75-84 years,1041,110116,6989539
Alabama,Male,85 years and over,679,2465495,165470228
Alaska,Female,0-.99 years,0,4712,1809703
Alaska,Female,01-04 years,0,19172,7620035
Alaska,Female,05-14 years,0,49489,20518881
Alaska,Female,15-24 years,0,41831,20981911
Alaska,Female,25-34 years,1,52332,22449525
Alaska,Female,35-44 years,1,46499,21276445
Alaska,Female,45-54 years,4,39679,20563411
Alaska,Female,55-64 years,16,44111,21973114
Alaska,Female,65-74 years,21,30857,17208126
Alaska,Female,75-84 years,27,11980,8832725
Alaska,Female,85 years and over,33,348778,171003046
Alaska,Male,0-.99 years,0,4880,1893263
Alaska,Male,01-04 years,0,20437,7968874
Alaska,Male,05-14 years,0,52554,21520591
Alaska,Male,15-24 years,0,45083,21603341
Alaska,Male,25-34 years,0,53736,22791780
Alaska,Male,35-44 years,3,49838,21420401
Alaska,Male,45-54 years,9,44844,20492996
Alaska,Male,55-64 years,16,48580,21075426
Alaska,Male,65-74 years,45,32980,15361155
Alaska,Male,75-84 years,46,11416,6989539
Alaska,Male,85 years and over,26,369454,165470228
Arizona,Female,0-.99 years,0,37423,1809703
Arizona,Female,01-04 years,0,160033,7620035
Arizona,Female,05-14 years,0,447662,20518881
Arizona,Female,15-24 years,7,462032,20981911
Arizona,Female,25-34 years,45,472043,22449525
Arizona,Female,35-44 years,100,436562,21276445
Arizona,Female,45-54 years,188,420196,20563411
Arizona,Female,55-64 years,487,453623,21973114
Arizona,Female,65-74 years,838,405836,17208126
Arizona,Female,75-84 years,1033,217431,8832725
Arizona,Female,85 years and over,1115,3672895,171003046
Arizona,Male,0-.99 years,0,38969,1893263
Arizona,Male,01-04 years,0,167071,7968874
Arizona,Male,05-14 years,0,467721,21520591
Arizona,Male,15-24 years,22,485168,21603341
Arizona,Male,25-34 years,78,501359,22791780
Arizona,Male,35-44 years,179,454840,21420401
Arizona,Male,45-54 years,405,422933,20492996
Arizona,Male,55-64 years,867,427103,21075426
Arizona,Male,65-74 years,1305,360556,15361155
Arizona,Male,75-84 years,1547,190918,6989539
Arizona,Male,85 years and over,1098,3630220,165470228
Arkansas,Female,0-.99 years,0,17201,1809703
Arkansas,Female,01-04 years,0,72833,7620035
Arkansas,Female,05-14 years,0,194631,20518881
Arkansas,Female,15-24 years,3,195384,20981911
Arkansas,Female,25-34 years,12,195204,22449525
Arkansas,Female,35-44 years,25,187190,21276445
Arkansas,Female,45-54 years,61,180603,20563411
Arkansas,Female,55-64 years,195,197506,21973114
Arkansas,Female,65-74 years,355,162208,17208126
Arkansas,Female,75-84 years,548,86884,8832725
Arkansas,Female,85 years and over,783,1560200,171003046
Arkansas,Male,0-.99 years,0,18147,1893263
Arkansas,Male,01-04 years,0,76297,7968874
Arkansas,Male,05-14 years,0,205262,21520591
Arkansas,Male,15-24 years,4,202673,21603341
Arkansas,Male,25-34 years,17,195214,22791780
Arkansas,Male,35-44 years,34,187491,21420401
Arkansas,Male,45-54 years,108,179153,20492996
Arkansas,Male,55-64 years,263,188400,21075426
Arkansas,Male,65-74 years,475,143924,15361155
Arkansas,Male,75-84 years,642,69108,6989539
Arkansas,Male,85 years and over,505,1505309,165470228
California,Female,0-.99 years,0,212773,1809703
California,Female,01-04 years,0,906062,7620035
California,Female,05-14 years,0,2469899,20518881
California,Female,15-24 years,38,2508562,20981911
California,Female,25-34 years,123,2873678,22449525
California,Female,35-44 years,287,2630034,21276445
California,Female,45-54 years,651,2474475,20563411
California,Female,55-64 years,1487,2442026,21973114
California,Female,65-74 years,2538,1837094,17208126
California,Female,75-84 years,3557,940987,8832725
California,Female,85 years and over,5208,20159164,171003046
California,Male,0-.99 years,0,223182,1893263
California,Male,01-04 years,0,948895,7968874
California,Male,05-14 years,0,2596923,21520591
California,Male,15-24 years,58,2582187,21603341
California,Male,25-34 years,241,3011355,22791780
California,Male,35-44 years,639,2728914,21420401
California,Male,45-54 years,1708,2513106,20492996
California,Male,55-64 years,3477,2390949,21075426
California,Male,65-74 years,4749,1634759,15361155
California,Male,75-84 years,4679,743858,6989539
California,Male,85 years and over,4127,19886144,165470228
Colorado,Female,0-.99 years,0,30338,1809703
Colorado,Female,01-04 years,0,126812,7620035
Colorado,Female,05-14 years,0,348605,20518881
Colorado,Female,15-24 years,4,358997,20981911
Colorado,Female,25-34 years,10,429048,22449525
Colorado,Female,35-44 years,23,393754,21276445
Colorado,Female,45-54 years,60,344031,20563411
Colorado,Female,55-64 years,142,359673,21973114
Colorado,Female,65-74 years,361,278954,17208126
Colorado,Female,75-84 years,618,126085,8832725
Colorado,Female,85 years and over,1042,2901809,171003046
Colorado,Male,0-.99 years,0,31892,1893263
Colorado,Male,01-04 years,0,131782,7968874
Colorado,Male,05-14 years,0,366807,21520591
Colorado,Male,15-24 years,6,379598,21603341
Colorado,Male,25-34 years,17,458296,22791780
Colorado,Male,35-44 years,41,420206,21420401
Colorado,Male,45-54 years,160,364080,20492996
Colorado,Male,55-64 years,325,351638,21075426
Colorado,Male,65-74 years,636,259353,15361155
Colorado,Male,75-84 years,831,104755,6989539
Colorado,Male,85 years and over,791,2929233,165470228
Connecticut,Female,0-.99 years,0,16833,1809703
Connecticut,Female,01-04 years,0,71654,7620035
Connecticut,Female,05-14 years,0,204664,20518881
Connecticut,Female,15-24 years,6,226235,20981911
Connecticut,Female,25-34 years,19,219489,22449525
Connecticut,Female,35-44 years,14,222853,21276445
Connecticut,Female,45-54 years,44,241048,20563411
Connecticut,Female,55-64 years,190,268120,21973114
Connecticut,Female,65-74 years,429,193906,17208126
Connecticut,Female,75-84 years,798,103749,8832725
Connecticut,Female,85 years and over,1756,1873203,171003046
Connecticut,Male,0-.99 years,0,17623,1893263
Connecticut,Male,01-04 years,0,74805,7968874
Connecticut,Male,05-14 years,0,213254,21520591
Connecticut,Male,15-24 years,6,235290,21603341
Connecticut,Male,25-34 years,13,225306,22791780
Connecticut,Male,35-44 years,28,218454,21420401
Connecticut,Male,45-54 years,115,230900,20492996
Connecticut,Male,55-64 years,346,256081,21075426
Connecticut,Male,65-74 years,653,172369,15361155
Connecticut,Male,75-84 years,856,80312,6989539
Connecticut,Male,85 years and over,1046,1779342,165470228
Delaware,Female,0-.99 years,0,5177,1809703
Delaware,Female,01-04 years,0,21681,7620035
Delaware,Female,05-14 years,0,58439,20518881
Delaware,Female,15-24 years,1,59269,20981911
Delaware,Female,25-34 years,3,64387,22449525
Delaware,Female,35-44 years,7,59800,21276445
Delaware,Female,45-54 years,24,61280,20563411
Delaware,Female,55-64 years,47,74326,21973114
Delaware,Female,65-74 years,82,63124,17208126
Delaware,Female,75-84 years,142,30696,8832725
Delaware,Female,85 years and over,247,521239,171003046
Delaware,Male,0-.99 years,0,5360,1893263
Delaware,Male,01-04 years,0,22593,7968874
Delaware,Male,05-14 years,0,60301,21520591
Delaware,Male,15-24 years,1,58839,21603341
Delaware,Male,25-34 years,5,62579,22791780
Delaware,Male,35-44 years,12,57635,21420401
Delaware,Male,45-54 years,21,57185,20492996
Delaware,Male,55-64 years,72,67056,21075426
Delaware,Male,65-74 years,137,54776,15361155
Delaware,Male,75-84 years,168,25226,6989539
Delaware,Male,85 years and over,135,485338,165470228
District of Columbia,Female,0-.99 years,0,4285,1809703
District of Columbia,Female,01-04 years,0,16384,7620035
District of Columbia,Female,05-14 years,0,33873,20518881
District of Columbia,Female,15-24 years,1,36611,20981911
District of Columbia,Female,25-34 years,2,82505,22449525
District of Columbia,Female,35-44 years,5,55706,21276445
District of Columbia,Female,45-54 years,25,35871,20563411
District of Columbia,Female,55-64 years,73,34914,21973114
District of Columbia,Female,65-74 years,102,27956,17208126
District of Columbia,Female,75-84 years,81,14271,8832725
District of Columbia,Female,85 years and over,120,356236,171003046
District of Columbia,Male,0-.99 years,0,4486,1893263
District of Columbia,Male,01-04 years,0,17344,7968874
District of Columbia,Male,05-14 years,0,34580,21520591
District of Columbia,Male,15-24 years,0,31808,21603341
District of Columbia,Male,25-34 years,5,72081,22791780
District of Columbia,Male,35-44 years,27,53613,21420401
District of Columbia,Male,45-54 years,66,36409,20492996
District of Columbia,Male,55-64 years,118,33194,21075426
District of Columbia,Male,65-74 years,169,21580,15361155
District of Columbia,Male,75-84 years,122,9664,6989539
District of Columbia,Male,85 years and over,81,321803,165470228
Florida,Female,0-.99 years,0,104211,1809703
Florida,Female,01-04 years,0,442371,7620035
Florida,Female,05-14 years,0,1182462,20518881
Florida,Female,15-24 years,14,1215292,20981911
Florida,Female,25-34 years,51,1356582,22449525
Florida,Female,35-44 years,130,1326397,21276445
Florida,Female,45-54 years,308,1365062,20563411
Florida,Female,55-64 years,859,1529349,21973114
Florida,Female,65-74 years,1774,1342699,17208126
Florida,Female,75-84 years,2730,780537,8832725
Florida,Female,85 years and over,3562,11301890,171003046
Florida,Male,0-.99 years,0,109028,1893263
Florida,Male,01-04 years,0,461291,7968874
Florida,Male,05-14 years,0,1237093,21520591
Florida,Male,15-24 years,22,1248838,21603341
Florida,Male,25-34 years,79,1377997,22791780
Florida,Male,35-44 years,234,1321979,21420401
Florida,Male,45-54 years,603,1339800,20492996
Florida,Male,55-64 years,1626,1422018,21075426
Florida,Male,65-74 years,2964,1168142,15361155
Florida,Male,75-84 years,3780,652601,6989539
Florida,Male,85 years and over,3086,10775423,165470228
Georgia,Female,0-.99 years,0,60422,1809703
Georgia,Female,01-04 years,0,256171,7620035
Georgia,Female,05-14 years,0,710498,20518881
Georgia,Female,15-24 years,14,716137,20981911
Georgia,Female,25-34 years,46,747447,22449525
Georgia,Female,35-44 years,92,725270,21276445
Georgia,Female,45-54 years,226,717798,20563411
Georgia,Female,55-64 years,598,689954,21973114
Georgia,Female,65-74 years,1085,515765,17208126
Georgia,Female,75-84 years,1336,249311,8832725
Georgia,Female,85 years and over,1483,5574375,171003046
Georgia,Male,0-.99 years,0,63206,1893263
Georgia,Male,01-04 years,0,266527,7968874
Georgia,Male,05-14 years,0,738929,21520591
Georgia,Male,15-24 years,14,720147,21603341
Georgia,Male,25-34 years,49,714451,22791780
Georgia,Male,35-44 years,126,678754,21420401
Georgia,Male,45-54 years,373,687406,20492996
Georgia,Male,55-64 years,873,643492,21075426
Georgia,Male,65-74 years,1534,437179,15361155
Georgia,Male,75-84 years,1615,190132,6989539
Georgia,Male,85 years and over,983,5236723,165470228
Hawaii,Female,0-.99 years,0,7912,1809703
Hawaii,Female,01-04 years,0,33166,7620035
Hawaii,Female,05-14 years,0,83899,20518881
Hawaii,Female,15-24 years,0,73162,20981911
Hawaii,Female,25-34 years,1,92390,22449525
Hawaii,Female,35-44 years,2,91726,21276445
Hawaii,Female,45-54 years,5,85592,20563411
Hawaii,Female,55-64 years,20,93482,21973114
Hawaii,Female,65-74 years,23,82743,17208126
Hawaii,Female,75-84 years,28,42858,8832725
Hawaii,Female,85 years and over,53,738164,171003046
Hawaii,Male,0-.99 years,0,8372,1893263
Hawaii,Male,01-04 years,0,35513,7968874
Hawaii,Male,05-14 years,0,89158,21520591
Hawaii,Male,15-24 years,0,76311,21603341
Hawaii,Male,25-34 years,2,90283,22791780
Hawaii,Male,35-44 years,5,90482,21420401
Hawaii,Male,45-54 years,17,85695,20492996
Hawaii,Male,55-64 years,37,92235,21075426
Hawaii,Male,65-74 years,63,78167,15361155
Hawaii,Male,75-84 years,53,35697,6989539
Hawaii,Male,85 years and over,48,710831,165470228
Idaho,Female,0-.99 years,0,10525,1809703
Idaho,Female,01-04 years,0,44778,7620035
Idaho,Female,05-14 years,0,128283,20518881
Idaho,Female,15-24 years,0,130012,20981911
Idaho,Female,25-34 years,0,116894,22449525
Idaho,Female,35-44 years,9,116279,21276445
Idaho,Female,45-54 years,21,101702,20563411
Idaho,Female,55-64 years,46,113295,21973114
Idaho,Female,65-74 years,124,94443,17208126
Idaho,Female,75-84 years,165,45709,8832725
Idaho,Female,85 years and over,288,937092,171003046
Idaho,Male,0-.99 years,0,11028,1893263
Idaho,Male,01-04 years,0,47211,7968874
Idaho,Male,05-14 years,0,134827,21520591
Idaho,Male,15-24 years,2,131105,21603341
Idaho,Male,25-34 years,7,120569,22791780
Idaho,Male,35-44 years,20,120311,21420401
Idaho,Male,45-54 years,28,106615,20492996
Idaho,Male,55-64 years,78,110271,21075426
Idaho,Male,65-74 years,208,91537,15361155
Idaho,Male,75-84 years,301,41284,6989539
Idaho,Male,85 years and over,263,937532,165470228
Illinois,Female,0-.99 years,0,68423,1809703
Illinois,Female,01-04 years,0,291314,7620035
Illinois,Female,05-14 years,0,791662,20518881
Illinois,Female,15-24 years,10,812000,20981911
Illinois,Female,25-34 years,41,864960,22449525
Illinois,Female,35-44 years,85,834790,21276445
Illinois,Female,45-54 years,234,804634,20563411
Illinois,Female,55-64 years,652,853027,21973114
Illinois,Female,65-74 years,1294,646886,17208126
Illinois,Female,75-84 years,1945,335918,8832725
Illinois,Female,85 years and over,3435,6621120,171003046
Illinois,Male,0-.99 years,0,71503,1893263
Illinois,Male,01-04 years,0,304127,7968874
Illinois,Male,05-14 years,0,828077,21520591
Illinois,Male,15-24 years,16,839386,21603341
Illinois,Male,25-34 years,74,876775,22791780
Illinois,Male,35-44 years,204,846601,21420401
Illinois,Male,45-54 years,527,804939,20492996
Illinois,Male,55-64 years,1195,824817,21075426
Illinois,Male,65-74 years,2168,575281,15361155
Illinois,Male,75-84 years,2482,254402,6989539
Illinois,Male,85 years and over,2355,6391198,165470228
Indiana,Female,0-.99 years,0,39131,1809703
Indiana,Female,01-04 years,0,164003,7620035
Indiana,Female,05-14 years,0,442186,20518881
Indiana,Female,15-24 years,8,454713,20981911
Indiana,Female,25-34 years,28,440344,22449525
Indiana,Female,35-44 years,40,422860,21276445
Indiana,Female,45-54 years,113,410462,20563411
Indiana,Female,55-64 years,350,446770,21973114
Indiana,Female,65-74 years,784,345433,17208126
Indiana,Female,75-84 years,1307,176515,8832725
Indiana,Female,85 years and over,2178,3501305,171003046
Indiana,Male,0-.99 years,0,41032,1893263
Indiana,Male,01-04 years,0,172637,7968874
Indiana,Male,05-14 years,0,464282,21520591
Indiana,Male,15-24 years,10,476804,21603341
Indiana,Male,25-34 years,20,446483,22791780
Indiana,Male,35-44 years,61,426605,21420401
Indiana,Male,45-54 years,162,415612,20492996
Indiana,Male,55-64 years,561,434301,21075426
Indiana,Male,65-74 years,1137,312011,15361155
Indiana,Male,75-84 years,1592,135740,6989539
Indiana,Male,85 years and over,1451,3406849,165470228
Iowa,Female,0-.99 years,0,18038,1809703
Iowa,Female,01-04 years,0,76525,7620035
Iowa,Female,05-14 years,0,205018,20518881
Iowa,Female,15-24 years,4,216350,20981911
Iowa,Female,25-34 years,11,192689,22449525
Iowa,Female,35-44 years,10,193496,21276445
Iowa,Female,45-54 years,43,178274,20563411
Iowa,Female,55-64 years,132,209033,21973114
Iowa,Female,65-74 years,319,165974,17208126
Iowa,Female,75-84 years,602,88606,8832725
Iowa,Female,85 years and over,1168,1640681,171003046
Iowa,Male,0-.99 years,0,18951,1893263
Iowa,Male,01-04 years,0,79758,7968874
Iowa,Male,05-14 years,0,215626,21520591
Iowa,Male,15-24 years,0,228263,21603341
Iowa,Male,25-34 years,20,203039,22791780
Iowa,Male,35-44 years,30,204349,21420401
Iowa,Male,45-54 years,83,185905,20492996
Iowa,Male,55-64 years,253,208688,21075426
Iowa,Male,65-74 years,474,158126,15361155
Iowa,Male,75-84 years,739,70899,6989539
Iowa,Male,85 years and over,893,1622938,165470228
Kansas,Female,0-.99 years,0,17102,1809703
Kansas,Female,01-04 years,0,72261,7620035
Kansas,Female,05-14 years,0,197990,20518881
Kansas,Female,15-24 years,3,199734,20981911
Kansas,Female,25-34 years,9,182741,22449525
Kansas,Female,35-44 years,15,181957,21276445
Kansas,Female,45-54 years,47,162427,20563411
Kansas,Female,55-64 years,106,187766,21973114
Kansas,Female,65-74 years,264,145492,17208126
Kansas,Female,75-84 years,417,74899,8832725
Kansas,Female,85 years and over,759,1498715,171003046
Kansas,Male,0-.99 years,0,18059,1893263
Kansas,Male,01-04 years,0,76264,7968874
Kansas,Male,05-14 years,0,207646,21520591
Kansas,Male,15-24 years,4,210957,21603341
Kansas,Male,25-34 years,13,189199,22791780
Kansas,Male,35-44 years,27,186282,21420401
Kansas,Male,45-54 years,80,167011,20492996
Kansas,Male,55-64 years,203,183442,21075426
Kansas,Male,65-74 years,367,136377,15361155
Kansas,Male,75-84 years,613,59734,6989539
Kansas,Male,85 years and over,581,1477067,165470228
Kentucky,Female,0-.99 years,0,25505,1809703
Kentucky,Female,01-04 years,0,106777,7620035
Kentucky,Female,05-14 years,0,281031,20518881
Kentucky,Female,15-24 years,0,283729,20981911
