State,Sex,age_group,deaths,pop_state,population
North Dakota,Female,0-.99 years,0,5126,1809703
North Dakota,Female,01-04 years,0,20801,7620035
North Dakota,Female,05-14 years,0,51105,20518881
North Dakota,Female,15-24 years,1,53122,20981911
North Dakota,Female,25-34 years,4,52165,22449525
North Dakota,Female,35-44 years,9,45245,21276445
North Dakota,Female,45-54 years,12,37799,20563411
North Dakota,Female,55-64 years,35,46348,21973114
North Dakota,Female,65-74 years,84,35100,17208126
North Dakota,Female,75-84 years,183,18719,8832725
North Dakota,Female,85 years and over,355,389066,171003046
North Dakota,Male,0-.99 years,0,5342,1893263
North Dakota,Male,01-04 years,0,22261,7968874
North Dakota,Male,05-14 years,0,53268,21520591
North Dakota,Male,15-24 years,2,56390,21603341
North Dakota,Male,25-34 years,7,58572,22791780
North Dakota,Male,35-44 years,15,51466,21420401
North Dakota,Male,45-54 years,27,41616,20492996
North Dakota,Male,55-64 years,88,48326,21075426
North Dakota,Male,65-74 years,159,35726,15361155
North Dakota,Male,75-84 years,225,15581,6989539
North Dakota,Male,85 years and over,316,400756,165470228
Ohio,Female,0-.99 years,0,64724,1809703
Ohio,Female,01-04 years,0,271706,7620035
Ohio,Female,05-14 years,0,723342,20518881
Ohio,Female,15-24 years,13,741681,20981911
Ohio,Female,25-34 years,20,770250,22449525
Ohio,Female,35-44 years,54,719153,21276445
Ohio,Female,45-54 years,136,723898,20563411
Ohio,Female,55-64 years,486,823469,21973114
Ohio,Female,65-74 years,1116,652606,17208126
Ohio,Female,75-84 years,2117,333819,8832725
Ohio,Female,85 years and over,3361,6128154,171003046
Ohio,Male,0-.99 years,0,67633,1893263
Ohio,Male,01-04 years,0,283503,7968874
Ohio,Male,05-14 years,0,759222,21520591
Ohio,Male,15-24 years,16,771039,21603341
Ohio,Male,25-34 years,30,780075,22791780
Ohio,Male,35-44 years,77,719310,21420401
Ohio,Male,45-54 years,249,723571,20492996
Ohio,Male,55-64 years,809,791329,21075426
Ohio,Male,65-74 years,1846,585499,15361155
Ohio,Male,75-84 years,2483,253532,6989539
Ohio,Male,85 years and over,2300,5894903,165470228
Oklahoma,Female,0-.99 years,0,23401,1809703
Oklahoma,Female,01-04 years,0,98928,7620035
Oklahoma,Female,05-14 years,0,267677,20518881
Oklahoma,Female,15-24 years,4,263547,20981911
Oklahoma,Female,25-34 years,12,262127,22449525
Oklahoma,Female,35-44 years,36,250803,21276445
Oklahoma,Female,45-54 years,93,224605,20563411
Oklahoma,Female,55-64 years,248,249768,21973114
Oklahoma,Female,65-74 years,525,197695,17208126
Oklahoma,Female,75-84 years,672,104533,8832725
Oklahoma,Female,85 years and over,817,2028626,171003046
Oklahoma,Male,0-.99 years,0,24439,1893263
Oklahoma,Male,01-04 years,0,104107,7968874
Oklahoma,Male,05-14 years,0,280848,21520591
Oklahoma,Male,15-24 years,6,275806,21603341
Oklahoma,Male,25-34 years,21,266153,22791780
Oklahoma,Male,35-44 years,51,256030,21420401
Oklahoma,Male,45-54 years,146,228403,20492996
Oklahoma,Male,55-64 years,369,239899,21075426
Oklahoma,Male,65-74 years,710,177006,15361155
Oklahoma,Male,75-84 years,835,82505,6989539
Oklahoma,Male,85 years and over,703,1984334,165470228
Oregon,Female,0-.99 years,0,20359,1809703
Oregon,Female,01-04 years,0,86870,7620035
Oregon,Female,05-14 years,0,243751,20518881
Oregon,Female,15-24 years,0,250973,20981911
Oregon,Female,25-34 years,4,294612,22449525
Oregon,Female,35-44 years,10,287547,21276445
Oregon,Female,45-54 years,15,254198,20563411
Oregon,Female,55-64 years,52,274701,21973114
Oregon,Female,65-74 years,127,248910,17208126
Oregon,Female,75-84 years,208,117054,8832725
Oregon,Female,85 years and over,345,2175471,171003046
Oregon,Male,0-.99 years,0,21317,1893263
Oregon,Male,01-04 years,0,91327,7968874
Oregon,Male,05-14 years,0,256966,21520591
Oregon,Male,15-24 years,2,261690,21603341
Oregon,Male,25-34 years,7,304404,22791780
Oregon,Male,35-44 years,12,297396,21420401
Oregon,Male,45-54 years,41,264155,20492996
Oregon,Male,55-64 years,121,262760,21075426
Oregon,Male,65-74 years,154,227036,15361155
Oregon,Male,75-84 years,273,100153,6989539
Oregon,Male,85 years and over,245,2145512,165470228
Pennsylvania,Female,0-.99 years,0,65637,1809703
Pennsylvania,Female,01-04 years,0,274563,7620035
Pennsylvania,Female,05-14 years,0,743868,20518881
Pennsylvania,Female,15-24 years,16,798021,20981911
Pennsylvania,Female,25-34 years,13,841778,22449525
Pennsylvania,Female,35-44 years,43,783772,21276445
Pennsylvania,Female,45-54 years,170,803371,20563411
Pennsylvania,Female,55-64 years,547,936383,21973114
Pennsylvania,Female,65-74 years,1342,745762,17208126
Pennsylvania,Female,75-84 years,2309,396134,8832725
Pennsylvania,Female,85 years and over,4857,6786989,171003046
Pennsylvania,Male,0-.99 years,0,68563,1893263
Pennsylvania,Male,01-04 years,0,288290,7968874
Pennsylvania,Male,05-14 years,0,782113,21520591
Pennsylvania,Male,15-24 years,12,821812,21603341
Pennsylvania,Male,25-34 years,47,866921,22791780
Pennsylvania,Male,35-44 years,92,793740,21420401
Pennsylvania,Male,45-54 years,305,802220,20492996
Pennsylvania,Male,55-64 years,977,902075,21075426
Pennsylvania,Male,65-74 years,1977,674687,15361155
Pennsylvania,Male,75-84 years,2732,302379,6989539
Pennsylvania,Male,85 years and over,2977,6506292,165470228
Rhode Island,Female,0-.99 years,0,5183,1809703
Rhode Island,Female,01-04 years,0,21798,7620035
Rhode Island,Female,05-14 years,0,57454,20518881
Rhode Island,Female,15-24 years,0,74912,20981911
Rhode Island,Female,25-34 years,6,74138,22449525
Rhode Island,Female,35-44 years,13,65898,21276445
Rhode Island,Female,45-54 years,16,69997,20563411
Rhode Island,Female,55-64 years,41,80667,21973114
Rhode Island,Female,65-74 years,140,60066,17208126
Rhode Island,Female,75-84 years,233,31151,8832725
Rhode Island,Female,85 years and over,552,575724,171003046
Rhode Island,Male,0-.99 years,0,5378,1893263
Rhode Island,Male,01-04 years,0,22757,7968874
Rhode Island,Male,05-14 years,0,60518,21520591
Rhode Island,Male,15-24 years,0,74760,21603341
Rhode Island,Male,25-34 years,8,76264,22791780
Rhode Island,Male,35-44 years,14,66702,21420401
Rhode Island,Male,45-54 years,21,67388,20492996
Rhode Island,Male,55-64 years,92,75517,21075426
Rhode Island,Male,65-74 years,204,53810,15361155
Rhode Island,Male,75-84 years,262,23642,6989539
Rhode Island,Male,85 years and over,333,543052,165470228
South Carolina,Female,0-.99 years,0,26953,1809703
South Carolina,Female,01-04 years,0,112955,7620035
South Carolina,Female,05-14 years,0,313952,20518881
South Carolina,Female,15-24 years,5,317850,20981911
South Carolina,Female,25-34 years,14,337185,22449525
South Carolina,Female,35-44 years,35,319776,21276445
South Carolina,Female,45-54 years,86,324018,20563411
South Carolina,Female,55-64 years,310,360292,21973114
South Carolina,Female,65-74 years,599,308935,17208126
South Carolina,Female,75-84 years,762,149458,8832725
South Carolina,Female,85 years and over,917,2680212,171003046
South Carolina,Male,0-.99 years,0,28221,1893263
South Carolina,Male,01-04 years,0,118073,7968874
South Carolina,Male,05-14 years,0,325774,21520591
South Carolina,Male,15-24 years,6,322315,21603341
South Carolina,Male,25-34 years,15,317288,22791780
South Carolina,Male,35-44 years,68,303151,21420401
South Carolina,Male,45-54 years,128,308552,20492996
South Carolina,Male,55-64 years,395,327393,21075426
South Carolina,Male,65-74 years,764,266741,15361155
South Carolina,Male,75-84 years,984,120837,6989539
South Carolina,Male,85 years and over,616,2498103,165470228
South Dakota,Female,0-.99 years,0,5686,1809703
South Dakota,Female,01-04 years,0,23521,7620035
South Dakota,Female,05-14 years,0,60234,20518881
South Dakota,Female,15-24 years,1,55861,20981911
South Dakota,Female,25-34 years,5,53834,22449525
South Dakota,Female,35-44 years,11,52022,21276445
South Dakota,Female,45-54 years,29,45659,20563411
South Dakota,Female,55-64 years,54,58269,21973114
South Dakota,Female,65-74 years,144,46198,17208126
South Dakota,Female,75-84 years,176,22034,8832725
South Dakota,Female,85 years and over,386,449006,171003046
South Dakota,Male,0-.99 years,0,5908,1893263
South Dakota,Male,01-04 years,0,24441,7968874
South Dakota,Male,05-14 years,0,63650,21520591
South Dakota,Male,15-24 years,2,59555,21603341
South Dakota,Male,25-34 years,8,57632,22791780
South Dakota,Male,35-44 years,20,56579,21420401
South Dakota,Male,45-54 years,29,48837,20492996
South Dakota,Male,55-64 years,98,59220,21075426
South Dakota,Male,65-74 years,181,47094,15361155
South Dakota,Male,75-84 years,268,18623,6989539
South Dakota,Male,85 years and over,323,454819,165470228
Tennessee,Female,0-.99 years,0,39128,1809703
Tennessee,Female,01-04 years,0,161691,7620035
Tennessee,Female,05-14 years,0,427660,20518881
Tennessee,Female,15-24 years,6,435319,20981911
Tennessee,Female,25-34 years,18,478547,22449525
Tennessee,Female,35-44 years,45,438504,21276445
Tennessee,Female,45-54 years,149,441312,20563411
Tennessee,Female,55-64 years,404,468543,21973114
Tennessee,Female,65-74 years,741,371761,17208126
Tennessee,Female,75-84 years,1032,186976,8832725
Tennessee,Female,85 years and over,1167,3594959,171003046
Tennessee,Male,0-.99 years,0,40682,1893263
Tennessee,Male,01-04 years,0,169096,7968874
Tennessee,Male,05-14 years,0,448022,21520591
Tennessee,Male,15-24 years,9,442826,21603341
Tennessee,Male,25-34 years,32,467166,22791780
Tennessee,Male,35-44 years,82,430019,21420401
Tennessee,Male,45-54 years,229,434026,20492996
Tennessee,Male,55-64 years,599,438494,21075426
Tennessee,Male,65-74 years,1141,327449,15361155
Tennessee,Male,75-84 years,1369,147348,6989539
Tennessee,Male,85 years and over,897,3421934,165470228
Texas,Female,0-.99 years,0,179307,1809703
Texas,Female,01-04 years,0,768323,7620035
Texas,Female,05-14 years,0,2076018,20518881
Texas,Female,15-24 years,31,1985149,20981911
Texas,Female,25-34 years,126,2071096,22449525
Texas,Female,35-44 years,347,1990957,21276445
Texas,Female,45-54 years,822,1792476,20563411
Texas,Female,55-64 years,1925,1684290,21973114
Texas,Female,65-74 years,3203,1230807,17208126
Texas,Female,75-84 years,3660,598956,8832725
Texas,Female,85 years and over,4023,14856769,171003046
Texas,Male,0-.99 years,0,187244,1893263
Texas,Male,01-04 years,0,799643,7968874
Texas,Male,05-14 years,0,2169393,21520591
Texas,Male,15-24 years,46,2058443,21603341
Texas,Male,25-34 years,227,2113996,22791780
Texas,Male,35-44 years,618,2028064,21420401
Texas,Male,45-54 years,1688,1802755,20492996
Texas,Male,55-64 years,3429,1634652,21075426
Texas,Male,65-74 years,5048,1095333,15361155
Texas,Male,75-84 years,5002,473084,6989539
Texas,Male,85 years and over,3325,14637111,165470228
Utah,Female,0-.99 years,0,23092,1809703
Utah,Female,01-04 years,0,95254,7620035
Utah,Female,05-14 years,0,262955,20518881
Utah,Female,15-24 years,1,263100,20981911
Utah,Female,25-34 years,4,233091,22449525
Utah,Female,35-44 years,19,223607,21276445
Utah,Female,45-54 years,33,167450,20563411
Utah,Female,55-64 years,61,154934,21973114
Utah,Female,65-74 years,136,118008,17208126
Utah,Female,75-84 years,172,57759,8832725
Utah,Female,85 years and over,237,1641360,171003046
Utah,Male,0-.99 years,0,24439,1893263
Utah,Male,01-04 years,0,99920,7968874
Utah,Male,05-14 years,0,279320,21520591
Utah,Male,15-24 years,2,273370,21603341
Utah,Male,25-34 years,13,241805,22791780
Utah,Male,35-44 years,29,234090,21420401
Utah,Male,45-54 years,65,176825,20492996
Utah,Male,55-64 years,125,153639,21075426
Utah,Male,65-74 years,237,111393,15361155
Utah,Male,75-84 years,284,49407,6989539
Utah,Male,85 years and over,232,1673666,165470228
Vermont,Female,0-.99 years,0,2665,1809703
Vermont,Female,01-04 years,0,11552,7620035
Vermont,Female,05-14 years,0,32480,20518881
Vermont,Female,15-24 years,0,42262,20981911
Vermont,Female,25-34 years,0,37689,22449525
Vermont,Female,35-44 years,1,38018,21276445
Vermont,Female,45-54 years,3,39639,20563411
Vermont,Female,55-64 years,9,49722,21973114
Vermont,Female,65-74 years,17,40896,17208126
Vermont,Female,75-84 years,21,19559,8832725
Vermont,Female,85 years and over,42,331840,171003046
Vermont,Male,0-.99 years,0,2802,1893263
Vermont,Male,01-04 years,0,12001,7968874
Vermont,Male,05-14 years,0,35063,21520591
Vermont,Male,15-24 years,0,44439,21603341
Vermont,Male,25-34 years,0,39047,22791780
Vermont,Male,35-44 years,2,37711,21420401
Vermont,Male,45-54 years,5,39742,20492996
Vermont,Male,55-64 years,11,48185,21075426
Vermont,Male,65-74 years,15,39066,15361155
Vermont,Male,75-84 years,26,16748,6989539
Vermont,Male,85 years and over,22,324376,165470228
Virginia,Female,0-.99 years,0,47466,1809703
Virginia,Female,01-04 years,0,199153,7620035
Virginia,Female,05-14 years,0,523470,20518881
Virginia,Female,15-24 years,5,542731,20981911
Virginia,Female,25-34 years,17,575776,22449525
Virginia,Female,35-44 years,33,567393,21276445
Virginia,Female,45-54 years,86,552802,20563411
Virginia,Female,55-64 years,220,579135,21973114
Virginia,Female,65-74 years,516,438837,17208126
Virginia,Female,75-84 years,796,224366,8832725
Virginia,Female,85 years and over,1320,4436651,171003046
Virginia,Male,0-.99 years,0,49873,1893263
Virginia,Male,01-04 years,0,208143,7968874
Virginia,Male,05-14 years,0,551336,21520591
Virginia,Male,15-24 years,7,554778,21603341
Virginia,Male,25-34 years,16,566460,22791780
Virginia,Male,35-44 years,46,553959,21420401
Virginia,Male,45-54 years,157,542169,20492996
Virginia,Male,55-64 years,423,551137,21075426
Virginia,Male,65-74 years,748,387413,15361155
Virginia,Male,75-84 years,924,176237,6989539
Virginia,Male,85 years and over,853,4242891,165470228
Washington,Female,0-.99 years,0,41961,1809703
Washington,Female,01-04 years,0,177159,7620035
Washington,Female,05-14 years,0,470211,20518881
Washington,Female,15-24 years,3,452394,20981911
Washington,Female,25-34 years,10,561428,22449525
Washington,Female,35-44 years,19,520384,21276445
Washington,Female,45-54 years,46,458302,20563411
Washington,Female,55-64 years,133,485575,21973114
Washington,Female,65-74 years,303,394900,17208126
Washington,Female,75-84 years,461,184208,8832725
Washington,Female,85 years and over,733,3903238,171003046
Washington,Male,0-.99 years,0,44025,1893263
Washington,Male,01-04 years,0,186173,7968874
Washington,Male,05-14 years,0,495239,21520591
Washington,Male,15-24 years,4,473700,21603341
Washington,Male,25-34 years,11,591268,22791780
Washington,Male,35-44 years,38,542887,21420401
Washington,Male,45-54 years,99,475304,20492996
Washington,Male,55-64 years,238,479102,21075426
Washington,Male,65-74 years,453,360977,15361155
Washington,Male,75-84 years,562,155708,6989539
Washington,Male,85 years and over,595,3895729,165470228
West Virginia,Female,0-.99 years,0,8531,1809703
West Virginia,Female,01-04 years,0,35815,7620035
West Virginia,Female,05-14 years,0,100491,20518881
West Virginia,Female,15-24 years,0,105789,20981911
West Virginia,Female,25-34 years,5,103148,22449525
West Virginia,Female,35-44 years,10,105831,21276445
West Virginia,Female,45-54 years,18,112259,20563411
West Virginia,Female,55-64 years,57,128317,21973114
West Virginia,Female,65-74 years,161,114721,17208126
West Virginia,Female,75-84 years,222,58246,8832725
West Virginia,Female,85 years and over,308,920390,171003046
West Virginia,Male,0-.99 years,0,8880,1893263
West Virginia,Male,01-04 years,0,37769,7968874
West Virginia,Male,05-14 years,0,106207,21520591
West Virginia,Male,15-24 years,2,113407,21603341
West Virginia,Male,25-34 years,7,110276,22791780
West Virginia,Male,35-44 years,18,109527,21420401
West Virginia,Male,45-54 years,34,116217,20492996
West Virginia,Male,55-64 years,72,124424,21075426
West Virginia,Male,65-74 years,208,106629,15361155
West Virginia,Male,75-84 years,274,48149,6989539
West Virginia,Male,85 years and over,195,907769,165470228
Wisconsin,Female,0-.99 years,0,30769,1809703
Wisconsin,Female,01-04 years,0,129489,7620035
Wisconsin,Female,05-14 years,0,356333,20518881
Wisconsin,Female,15-24 years,5,383361,20981911
Wisconsin,Female,25-34 years,13,359090,22449525
Wisconsin,Female,35-44 years,22,361298,21276445
Wisconsin,Female,45-54 years,67,350926,20563411
Wisconsin,Female,55-64 years,193,417727,21973114
Wisconsin,Female,65-74 years,430,317838,17208126
Wisconsin,Female,75-84 years,796,159740,8832725
Wisconsin,Female,85 years and over,1409,3018939,171003046
Wisconsin,Male,0-.99 years,0,32237,1893263
Wisconsin,Male,01-04 years,0,135327,7968874
Wisconsin,Male,05-14 years,0,375579,21520591
Wisconsin,Male,15-24 years,7,397577,21603341
Wisconsin,Male,25-34 years,17,376929,22791780
Wisconsin,Male,35-44 years,35,374839,21420401
Wisconsin,Male,45-54 years,120,362914,20492996
Wisconsin,Male,55-64 years,322,417625,21075426
Wisconsin,Male,65-74 years,741,306056,15361155
Wisconsin,Male,75-84 years,1006,131905,6989539
Wisconsin,Male,85 years and over,1106,2993702,165470228
Wyoming,Female,0-.99 years,0,3095,1809703
Wyoming,Female,01-04 years,0,13162,7620035
Wyoming,Female,05-14 years,0,37495,20518881
Wyoming,Female,15-24 years,0,35157,20981911
Wyoming,Female,25-34 years,1,35540,22449525
Wyoming,Female,35-44 years,3,36189,21276445
Wyoming,Female,45-54 years,8,30656,20563411
Wyoming,Female,55-64 years,17,38276,21973114
Wyoming,Female,65-74 years,42,31026,17208126
Wyoming,Female,75-84 years,68,14400,8832725
Wyoming,Female,85 years and over,87,287452,171003046
Wyoming,Male,0-.99 years,0,3170,1893263
Wyoming,Male,01-04 years,0,13918,7968874
Wyoming,Male,05-14 years,0,39922,21520591
Wyoming,Male,15-24 years,0,38218,21603341
Wyoming,Male,25-34 years,2,37662,22791780
Wyoming,Male,35-44 years,5,39058,21420401
Wyoming,Male,45-54 years,11,33373,20492996
Wyoming,Male,55-64 years,30,39142,21075426
Wyoming,Male,65-74 years,55,32163,15361155
Wyoming,Male,75-84 years,71,13141,6989539
Wyoming,Male,85 years and over,61,297329,165470228
